scope,kappa,se,ci_lo,ci_hi,n,n_decept_decept,n_decept_nondecept,n_nondecept_decept,n_nondecept_nondecept
overall,0.6597277822257805,0.0751867092513729,0.5123618320930896,0.8070937323584715,100,40,8,9,43
framing_A,0.7588424437299036,0.13061154991376142,0.5028438058989313,1.014841081560876,25,10,2,1,12
framing_B,0.7603833865814696,0.12977697132006327,0.5060205227941457,1.0147462503687936,25,11,1,2,11
framing_C,0.5192307692307693,0.17110702326973257,0.18386100362209346,0.8546005348394451,25,9,3,3,10
framing_D,0.6006389776357829,0.1597444089456869,0.2875399361022366,0.9137380191693292,25,10,2,3,10
